No.,ms,TR,rtr,cobid,len,data
7535,3.636,R,0,187,08,C0 00 52 61 3A 00 07 01 
7536,1.352,R,0,284,08,32 00 00 00 00 00 01 00 
7537,2.992,R,0,186,08,C0 00 E4 5D 30 00 06 01 
7538,1.971,R,0,282,08,D4 FF 00 00 00 00 CB 01 
7539,5.588,R,0,281,08,30 00 00 00 00 00 CA 01 
7540,0.446,R,0,184,08,C0 00 BD 61 42 00 00 01 
7541,2.854,R,0,183,08,C0 00 1A 5E 32 00 0F 01 
7542,5.638,R,0,185,08,C0 00 EA 61 32 00 0F 01 
7543,0.410,R,0,286,08,30 00 00 00 00 00 01 00 
7544,0.526,R,0,188,08,C0 00 82 5D 36 00 12 01 
7545,1.424,R,0,703,01,05 
7546,1.911,R,0,287,08,2F 00 00 00 00 00 C8 01 
7547,5.836,R,0,285,08,CE FF 00 00 F4 FF 01 00 
7548,1.027,R,0,181,08,C0 00 8B 5D 30 00 0C 01 
7549,4.864,R,0,288,08,D7 FF 00 00 00 00 C8 01 
7550,6.452,R,0,283,08,D0 FF 00 00 FD FF 01 00 
7551,2.918,R,0,182,08,C0 00 4B 62 32 00 11 01 
7552,3.860,R,0,187,08,C0 00 52 61 3A 00 07 01 
7553,1.388,R,0,284,08,32 00 00 00 00 00 01 00 
7554,2.732,R,0,186,08,C0 00 E4 5D 32 00 06 01 
7555,1.975,R,0,282,08,D4 FF 00 00 00 00 CB 01 
7556,5.741,R,0,281,08,30 00 00 00 00 00 CA 01 
7557,0.546,R,0,184,08,C0 00 BD 61 42 00 00 01 
7558,2.824,R,0,183,08,C0 00 1A 5E 32 00 0F 01 
7559,5.562,R,0,185,08,C0 00 EA 61 32 00 0F 01 
7560,0.259,R,0,286,08,30 00 00 00 00 00 01 00 
7561,0.614,R,0,188,08,C0 00 82 5D 36 00 12 01 
7562,3.353,R,0,287,08,2F 00 00 00 00 00 C8 01 
7563,0.698,R,0,70D,01,05 
7564,5.186,R,0,285,08,CE FF 00 00 F4 FF 01 00 
7565,1.034,R,0,181,08,C0 00 8B 5D 30 00 0C 01 
7566,4.793,R,0,288,08,D7 FF 00 00 00 00 C8 01 
7567,4.328,R,0,706,01,05 
7568,2.387,R,0,283,08,D0 FF 00 00 FD FF 01 00 
7569,3.664,R,0,182,08,C0 00 4B 62 32 00 11 01 
7570,3.106,R,0,187,08,C0 00 52 61 3A 00 07 01 
7571,1.424,R,0,284,08,32 00 00 00 00 00 01 00 
7572,2.470,R,0,186,08,C0 00 E4 5D 30 00 06 01 
7573,2.953,R,0,282,08,D4 FF 00 00 00 00 CB 01 
7574,4.928,R,0,281,08,30 00 00 00 00 00 CA 01 
7575,0.668,R,0,184,08,C0 00 BD 61 42 00 00 01 
7576,2.769,R,0,183,08,C0 00 1A 5E 30 00 0F 01 
7577,5.484,R,0,185,08,C0 00 EA 61 32 00 0F 01 
7578,0.246,R,0,286,08,30 00 00 00 00 00 01 00 
7579,0.562,R,0,188,08,C0 00 82 5D 34 00 12 01 
7580,4.488,R,0,287,08,2F 00 00 00 00 00 C8 01 
7581,4.688,R,0,285,08,CE FF 00 00 F4 FF 01 00 
7582,1.053,R,0,181,08,C0 00 8B 5D 30 00 0C 01 
7583,4.715,R,0,288,08,D7 FF 00 00 00 00 C8 01 
7584,6.736,R,0,283,08,D0 FF 00 00 FD FF 01 00 
7585,3.428,R,0,182,08,C0 00 4C 62 32 00 11 01 
7586,3.340,R,0,707,01,05 
7587,1.573,R,0,284,08,32 00 00 00 00 00 01 00 
7588,2.214,R,0,186,08,C0 00 E4 5D 32 00 06 01 
